idinspection,inspector_name,fruit,inspection_date,container,exporter,importer,vessel,arrival_date,o2_level_percent,co2_level_percent,pulp_temp_c,atmosphere,etd,int_pallet_nr,pallet_number,caliber,box_net_weight_g,grower,grw_boxes_per_pallet,total_boxes_per_pallet,packing_date,peduncular_mold,decay,soft,dehydrated,cold_damage,bruises,open_injury,scissor_damage,russet_greater_than_4_cm,insect_damage,sunburn,deformed,inspected_boxes
45,Jost,AVOCADOS,2017-01-02,BMOU960422-0,CITRICS CL,FRUITS EXOTICS,CMA CGM NIAGARA,2018-01-19,8.6,6.3,,XTENDFRESH,2016-12-16,45,5480468502,14,10194,RCQ,120,120,2016-12-07,2.0,,1.0,,5.0,1.0,,2.0,1.0,,,,2
46,Jost,MANDARINS,2017-01-02,SUDU931036-7,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-12-29,4.4,,5.1,STARCOOL,2016-12-16,46,5480475304,9,10348,LAS ROSAS,120,120,2016-12-06,,,,,,,,,,,,,2
47,Jost,AVOCADOS,2017-01-02,BMOU963885-2,CITRICS CL,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-12,3.9,7.0,5.5,STARCOOL,2016-12-16,47,5480489019,14,10587,SAN CARLOS,120,120,2019-01-16,,,,,,1.0,1.0,,3.0,1.0,,,2
48,Muayad,MANDARINS,2017-01-02,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-01-09,3.7,7.5,3.8,XTENDFRESH,2019-01-26,48,F544133,9,9953,SAN CARLOS,120,120,2016-11-30,,,,,,,1.0,,,,,,2
49,Jost,AVOCADOS,2017-01-02,HLBU 907075-0,AGRICOLA SUR SA,MMS,MSC CHLOE,2018-01-19,4.4,8.0,4.8,XTENDFRESH,2016-12-09,49,5480462082,14,10352,RCQ,120,120,2017-12-13,1.0,1.0,,1.0,,,1.0,,2.0,,,2.0,2
50,Lucas,AVOCADOS,2017-01-02,HLBU 907075-0,SOUTH CITRICS EXPORT,EUROCITRICS,SANTA CATALINA,2017-01-09,8.6,7.0,4.4,STARCOOL,2016-12-16,50,5480475304,18,9951,TRES MONTES,120,120,2017-12-15,,1.0,,,,,1.0,,6.0,,,,2
51,Sarah,MANDARINS,2017-01-02,SUDU962715-3,SJ EXPORT,AVOPRIME,MSC CHLOE,2017-01-10,4.1,8.0,,STARCOOL,2016-12-16,51,5480475298,18,10440,SAN CARLOS,120,120,2016-12-12,,,,,,,1.0,,2.0,,,,2
52,Killian,AVO 4K,2017-01-02,BMOU960422-0,AGRICOLA SUR SA,MMS,SAN CLEMENTE,2017-01-17,3.9,7.2,6.2,STARCOOL,2016-12-16,52,5480462089,12,9951,SAN CARLOS,300,300,2016-12-01,1.0,,,,,,,,1.0,,,,2
53,Raul,AVOCADOS,2017-01-02,SUDU931036-7,SJ EXPORT,EUROCITRICS,MSC CHLOE,2017-01-10,4.4,7.4,4.4,XTENDFRESH,2016-12-16,53,5480469206,5,10094,LP,120,120,2016-12-13,,,,,,,,,1.0,,,6.0,2
54,Arjun,MANDARINS,2017-01-02,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-05,3.9,7.0,3.8,STARCOOL,2016-12-16,54,5480469119,1-x,10553,TRES MONTES,120,120,2016-11-30,,,,,2.0,,1.0,,,,,,2
55,Emily,MANDARINS,2017-01-02,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,3.9,8.0,5.0,,2016-12-16,55,5480475291,18,9951,SAN CARLOS,120,120,2016-12-13,,,,2.0,,,1.0,,,,,,2
56,Emily,AVOCADOS,2017-01-02,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2018-01-19,3.9,7.9,5.2,STARCOOL,2016-12-16,56,27452,7,10047,SAN CARLOS,120,120,2017-12-13,,,,,,,0.0,,1.0,1.0,,0.0,2
57,Jost,AVOCADOS,2017-01-02,SUDU931036-7,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-19,4.3,7.9,5.1,STARCOOL,2017-12-22,57,F542696,9,9951,SAN CARLOS,120,120,2016-12-07,,,,,,,,,6.0,,,,2
58,Emily,MANDARINS,2017-01-02,BMOU960422-0,SJ EXPORT,MMS,SAN CLEMENTE,2017-01-10,4.0,8.1,6.2,,2016-12-16,58,5480468503,16,10280,SAN CARLOS,120,120,2016-12-12,,,,,,,,,1.0,1.0,,,2
59,Jost,MANDARINS,2017-01-02,BMOU960422-0,CITRICS CL,FRUITS EXOTICS,SAN CLEMENTE,2017-01-10,3.8,7.1,4.8,STARCOOL,2017-12-23,59,F542622,18,10183,AGRICOLA AA,120,120,2016-12-07,1.0,,1.0,,,,,,6.0,,,1.0,3
60,Sarah,AVOCADOS,2017-01-02,BMOU 963197-1,SJ EXPORT,FRUITS EXOTICS,SANTA CLARA,2017-01-10,8.6,6.3,4.4,STARCOOL,2018-12-23,60,5480469298,22,9951,SAN CARLOS,120,120,2016-12-01,,,,,,,1.0,2.0,6.0,,,,1
61,Sarah,MANDARINS,2017-01-02,HLBU 907275-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-05,3.9,,6.2,STARCOOL,2016-12-01,61,F542622,18,9951,SAN CARLOS,120,120,2017-12-02,,,,,,,,3.0,6.0,,,,2
62,Arjun,AVOCADOS,2017-01-02,BMOU 963267-0,AGRICOLA SUR SA,FRUITS EXOTICS,SAN CLEMENTE,2017-01-10,4.4,6.3,4.4,STARCOOL,2016-12-16,62,5480489019,3,10511,AAA,120,120,2016-12-07,,,,,,,,,2.0,,,2.0,2
63,Arjun,MANDARINS,2017-01-02,BMOU 963267-0,BIO CITRICS,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,7.5,6.2,STARCOOL,2017-12-23,63,5480474907,3,10865,SAN CARLOS,120,120,2016-12-12,1.0,,2.0,,,,0.0,,2.0,,,,2
64,Sarah,AVOCADOS,2017-01-02,BMOU963865-0,SJ EXPORT,MMS,SANTA ANA,2017-01-10,3.9,8.8,,,2016-12-16,64,5480467797,18,10634,AAA,120,120,2016-12-12,,,,,2.0,,,,,,,2.0,2
65,Muayad,MANDARINS,2017-01-02,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,7.6,4.8,STARCOOL,2018-12-23,65,5480488423,20,10474,SAN CARLOS,120,120,2016-12-07,,,,,,,0.0,,2.0,,,,2
66,Arjun,AVOCADOS,2017-01-02,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,SANTA CATALINA,2017-01-10,3.9,8.0,,STARCOOL,2017-12-23,66,F544133,3,10423,TRES MONTES,120,120,2016-12-07,,,,,,,1.0,,2.0,,1.0,,2
67,Sarah,MANDARINS,2017-01-02,SUDU931036-7,AGRICOLA SUR SA,MKVTRB,MSC CHLOE,2017-01-10,4.0,8.0,,STARCOOL,2016-12-16,67,5480468503,1-xx,9951,SAN CARLOS,120,120,2016-12-06,,,,,,,1.0,3.0,1.0,,1.0,,1
68,Lucas,MANDARINS,2017-01-02,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-10,4.4,8.9,6.2,STARCOOL,2016-12-08,68,27459,3,9951,LP,120,120,2016-12-07,,,,,,1.0,1.0,,6.0,1.0,,1.0,4
69,Lucas,AVO 4K,2017-01-02,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,SANTA CATALINA,2017-01-10,3.8,8.0,5.5,STARCOOL,2016-12-08,69,5480469206,7,9951,AAA,300,300,2019-01-16,,,,,,,,,3.0,,,,2
70,Sarah,AVOCADOS,2017-01-02,BMOU961097-9,CITRICS CL,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-05,3.9,,5.5,STARCOOL,2016-12-16,70,5480467797,1-xx,9951,SAN CARLOS,120,120,2017-12-02,3.0,,,,,,,,3.0,,,,1
71,Sarah,AVOCADOS,2017-01-02,BMOU963865-0,SOUTH CITRICS EXPORT,EUROCITRICS,CMA CGM NIAGARA,2018-01-16,3.8,7.1,4.8,STARCOOL,2016-12-01,71,5480461914,12,10518,SAN CARLOS,120,120,2016-12-12,,,,,,,,,3.0,,,,2
72,Arjun,MANDARINS,2017-01-02,BMOU 963197-1,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-09,3.9,6.3,4.4,STARCOOL,2016-12-16,72,F548003,18,9951,TRES MONTES,120,120,2017-12-02,,,,1.0,,1.0,,,1.0,,,1.0,2
73,Sarah,MANDARINS,2017-01-02,HLBU 907075-0,SJ EXPORT,FRUITS EXOTICS,SANTA ANA,2018-01-16,4.1,8.0,6.2,STARCOOL,2017-12-22,73,5480467950,1-xxx,9951,AAA,120,120,2016-12-12,,,,,,,1.0,,2.0,,,,2
74,Emily,MANDARINS,2017-01-02,BMOU961097-9,SOUTH CITRICS EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2018-01-19,3.8,7.2,4.6,STARCOOL,2016-12-01,74,5480475298,16,10376,SAN CARLOS,120,120,2016-12-13,2.0,,,,1.0,,1.0,,,,,,2
75,Lucas,MANDARINS,2017-01-02,SUDU931036-7,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SANTA CATALINA,2017-01-09,4.4,8.0,,STARCOOL,2016-12-16,75,5480469108,9,9951,SAN CARLOS,120,120,2016-11-30,,,1.0,,,,,,,,,,4
76,Emily,MANDARINS,2017-01-02,MSCU654560-2,SJ EXPORT,EUROCITRICS,MSC CARIBEAN,2018-01-19,4.4,7.9,6.2,,2016-12-16,76,F542696,1-xxx,9951,SAN CARLOS,120,120,2016-12-07,1.0,,,,,,1.0,,4.0,,,3.0,2
77,Killian,AVO 4K,2017-01-02,BMOU960422-0,SJ EXPORT,MKVTRB,MSC CARIBEAN,2017-01-05,8.6,6.3,4.6,STARCOOL,2016-12-16,77,5480475292,22,9951,LAS ROSAS,300,300,2016-12-12,,,,1.0,4.0,,,,3.0,,,0.0,2
78,Muayad,MANDARINS,2017-01-02,SUDU962715-3,SOUTH CITRICS EXPORT,AVOPRIME,SANTA CATALINA,2017-01-10,3.8,8.8,4.8,STARCOOL,2017-12-20,78,5480465748,26,9951,SAN CARLOS,120,120,2016-12-01,,,,1.0,,,1.0,,3.0,,,,2
79,Lucas,AVOCADOS,2017-01-02,SUDU296571-0,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,3.9,7.1,4.8,STARCOOL,2017-12-22,79,5480475300,14,9951,SAN CARLOS,120,120,2017-12-13,,,1.0,,,,1.0,,2.0,1.0,,,2
80,Arjun,MANDARINS,2017-01-02,SUDU962715-3,BIO CITRICS,AVOPRIME,SANTA CLARA,2017-01-10,3.9,,5.1,STARCOOL,2016-12-16,80,5480475303,1-x,9951,SAN CARLOS,120,120,2018-12-13,1.0,,,,,,,,1.0,,,,4
81,Emily,MANDARINS,2017-01-02,BMOU963865-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.4,7.1,5.5,STARCOOL,2017-12-25,81,F542696,14,10654,SAN CARLOS,120,120,2016-12-13,,,,,,,1.0,,6.0,,,,3
82,Emily,MANDARINS,2017-01-02,BMOU 963267-0,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ASDA,2017-01-10,3.8,8.0,4.8,STARCOOL,2016-12-16,82,5480475189,9,10385,SAN CARLOS,120,120,2017-12-26,,,,,,,,,3.0,,,,2
83,Arjun,AVOCADOS,2017-01-02,BMOU963885-2,CITRICS CL,FRUITS EXOTICS,SANTA CATALINA,2017-01-17,3.9,6.3,6.2,STARCOOL,2016-12-16,83,5480474907,16,10241,RCQ,120,120,2016-12-13,1.0,,,,,,1.0,,6.0,,,,1
84,Jost,AVOCADOS,2017-01-02,SUDU931036-7,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,,,STARCOOL,2016-12-08,84,5480467776,16,10865,SAN CARLOS,120,120,2019-01-16,,,,,2.0,,,,1.0,1.0,,2.0,2
85,Sarah,MANDARINS,2017-01-02,BMOU 963197-1,SJ EXPORT,FRUITS EXOTICS,SANTA CLARA,2017-01-09,4.3,7.5,6.2,STARCOOL,2016-12-08,85,27459,18,9951,RCQ,120,120,2016-12-12,,,,,,,1.0,,6.0,,,,2
86,Emily,AVO 4K,2017-01-02,BMOU963865-1,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-01-10,3.9,8.0,4.8,STARCOOL,2017-12-23,86,F542697,3,10315,FRA,300,300,2016-12-13,,,,,,,,,4.0,,,,2
87,Arjun,AVO 4K,2017-01-02,MSCU225856-0,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC ANZU,2017-01-10,8.6,8.9,5.1,STARCOOL,2016-12-09,87,F544133,1-x,10490,FRA,300,300,2016-12-12,,,,,2.0,,1.0,,4.0,,1.0,,2
88,Lucas,AVOCADOS,2017-01-02,MSCU361476-7,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2018-01-19,4.4,8.0,4.6,XTENDFRESH,2016-12-16,88,5480469108,18,10142,AGRICOLA AA,120,120,2016-12-07,,1.0,,,,,,,6.0,,,,2
89,Emily,AVO 4K,2017-01-02,BMOU960422-0,CITRICS CL,FRUITS EXOTICS,SANTA JULIA,2017-01-10,4.6,8.8,4.8,STARCOOL,2016-12-16,89,5480474969,1-x,10327,SAN CARLOS,300,300,2017-12-10,,,,,,,1.0,,5.0,,,,2
90,Arjun,MANDARINS,2017-01-02,BMOU 963197-1,SJ EXPORT,AVOPRIME,MSC ARTIC,2017-01-05,4.4,6.3,,STARCOOL,2017-12-23,90,5480475583,24,9951,AGRICOLA AA,120,120,2017-12-26,,,,,0.0,1.0,1.0,,2.0,1.0,,,2
91,Emily,AVOCADOS,2017-01-02,MSCU654560-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.0,8.0,5.0,STARCOOL,2016-12-02,91,5480468117,16,10181,SAN CARLOS,120,120,2016-12-13,,,,2.0,,,0.0,,1.0,,,1.0,2
92,Lucas,AVOCADOS,2017-01-02,BMOU 963267-0,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,7.1,3.8,,2016-12-08,92,5480475284,14,9951,SAN CARLOS,120,120,2017-12-13,,,,,5.0,,,,,,,,4
